,CBSAMET_KEY,CBSAMET_NAME,INCOME,SIZE1,Count,Income_Class
112,10420,"Akron, OH Metro","Income $175,000 - $199,999",5+ Member HH,990,Upper
113,10420,"Akron, OH Metro","Income $200,000 - $249,999",5+ Member HH,1042,Upper
114,10420,"Akron, OH Metro","Income $25,000 - $34,999",5+ Member HH,2688,Lower
115,10420,"Akron, OH Metro","Income $250,000+",5+ Member HH,1367,Upper
116,10420,"Akron, OH Metro","Income $35,000 - $49,999",5+ Member HH,2825,Lower
117,10420,"Akron, OH Metro","Income $50,000 - $74,999",5+ Member HH,9657,Middle
118,10420,"Akron, OH Metro","Income $75,000 - $99,999",5+ Member HH,10667,Middle
119,10420,"Akron, OH Metro","Income <$15,000",5+ Member HH,1993,Lower
120,10500,"Albany, GA Metro","Income $100,000 - $124,999",1 Member HH,872,Upper
121,10500,"Albany, GA Metro","Income $125,000 - $149,999",1 Member HH,513,Upper
122,10500,"Albany, GA Metro","Income $15,000 - $24,999",1 Member HH,3545,Lower
123,10500,"Albany, GA Metro","Income $150,000 - $174,999",1 Member HH,481,Upper
124,10500,"Albany, GA Metro","Income $175,000 - $199,999",1 Member HH,36,Upper
125,10500,"Albany, GA Metro","Income $200,000 - $249,999",1 Member HH,195,Upper
126,10500,"Albany, GA Metro","Income $25,000 - $34,999",1 Member HH,2913,Middle
127,10500,"Albany, GA Metro","Income $250,000+",1 Member HH,310,Upper
128,10500,"Albany, GA Metro","Income $35,000 - $49,999",1 Member HH,3561,Middle
129,10500,"Albany, GA Metro","Income $50,000 - $74,999",1 Member HH,3069,Middle
130,10500,"Albany, GA Metro","Income $75,000 - $99,999",1 Member HH,1264,Upper
131,10500,"Albany, GA Metro","Income <$15,000",1 Member HH,5537,Lower
132,10500,"Albany, GA Metro","Income $100,000 - $124,999",2 Member HH,1406,Upper
133,10500,"Albany, GA Metro","Income $125,000 - $149,999",2 Member HH,733,Upper
134,10500,"Albany, GA Metro","Income $15,000 - $24,999",2 Member HH,3073,Lower
135,10500,"Albany, GA Metro","Income $150,000 - $174,999",2 Member HH,662,Upper
136,10500,"Albany, GA Metro","Income $175,000 - $199,999",2 Member HH,125,Upper
137,10500,"Albany, GA Metro","Income $200,000 - $249,999",2 Member HH,257,Upper
138,10500,"Albany, GA Metro","Income $25,000 - $34,999",2 Member HH,2697,Lower
139,10500,"Albany, GA Metro","Income $250,000+",2 Member HH,293,Upper
140,10500,"Albany, GA Metro","Income $35,000 - $49,999",2 Member HH,4373,Middle
141,10500,"Albany, GA Metro","Income $50,000 - $74,999",2 Member HH,3785,Middle
142,10500,"Albany, GA Metro","Income $75,000 - $99,999",2 Member HH,2011,Middle
143,10500,"Albany, GA Metro","Income <$15,000",2 Member HH,5492,Lower
144,10500,"Albany, GA Metro","Income $100,000 - $124,999",3 Member HH,570,Middle
145,10500,"Albany, GA Metro","Income $125,000 - $149,999",3 Member HH,292,Upper
146,10500,"Albany, GA Metro","Income $15,000 - $24,999",3 Member HH,887,Lower
147,10500,"Albany, GA Metro","Income $150,000 - $174,999",3 Member HH,169,Upper
148,10500,"Albany, GA Metro","Income $175,000 - $199,999",3 Member HH,41,Upper
149,10500,"Albany, GA Metro","Income $200,000 - $249,999",3 Member HH,101,Upper
150,10500,"Albany, GA Metro","Income $25,000 - $34,999",3 Member HH,908,Lower
151,10500,"Albany, GA Metro","Income $250,000+",3 Member HH,122,Upper
152,10500,"Albany, GA Metro","Income $35,000 - $49,999",3 Member HH,1221,Middle
153,10500,"Albany, GA Metro","Income $50,000 - $74,999",3 Member HH,2001,Middle
154,10500,"Albany, GA Metro","Income $75,000 - $99,999",3 Member HH,1144,Middle
155,10500,"Albany, GA Metro","Income <$15,000",3 Member HH,915,Lower
156,10500,"Albany, GA Metro","Income $100,000 - $124,999",4 Member HH,430,Middle
157,10500,"Albany, GA Metro","Income $125,000 - $149,999",4 Member HH,234,Upper
158,10500,"Albany, GA Metro","Income $15,000 - $24,999",4 Member HH,493,Lower
159,10500,"Albany, GA Metro","Income $150,000 - $174,999",4 Member HH,108,Upper
160,10500,"Albany, GA Metro","Income $175,000 - $199,999",4 Member HH,31,Upper
161,10500,"Albany, GA Metro","Income $200,000 - $249,999",4 Member HH,55,Upper
162,10500,"Albany, GA Metro","Income $25,000 - $34,999",4 Member HH,481,Lower
163,10500,"Albany, GA Metro","Income $250,000+",4 Member HH,78,Upper
164,10500,"Albany, GA Metro","Income $35,000 - $49,999",4 Member HH,621,Lower
165,10500,"Albany, GA Metro","Income $50,000 - $74,999",4 Member HH,1293,Middle
166,10500,"Albany, GA Metro","Income $75,000 - $99,999",4 Member HH,969,Middle
167,10500,"Albany, GA Metro","Income <$15,000",4 Member HH,463,Lower
168,10500,"Albany, GA Metro","Income $100,000 - $124,999",5+ Member HH,667,Middle
169,10500,"Albany, GA Metro","Income $125,000 - $149,999",5+ Member HH,442,Middle
170,10500,"Albany, GA Metro","Income $15,000 - $24,999",5+ Member HH,712,Lower
171,10500,"Albany, GA Metro","Income $150,000 - $174,999",5+ Member HH,197,Upper
172,10500,"Albany, GA Metro","Income $175,000 - $199,999",5+ Member HH,64,Upper
