CBSAMET_KEY,CBSAMET_NAME,INCOME,SIZE1,Count
10500,"Albany, GA Metro","Income $100,000 - $124,999",3 Member HH,570
10500,"Albany, GA Metro","Income $100,000 - $124,999",4 Member HH,430
10500,"Albany, GA Metro","Income $100,000 - $124,999",5+ Member HH,667
10500,"Albany, GA Metro","Income $125,000 - $149,999",1 Member HH,513
10500,"Albany, GA Metro","Income $125,000 - $149,999",2 Member HH,733
10500,"Albany, GA Metro","Income $125,000 - $149,999",3 Member HH,292
10500,"Albany, GA Metro","Income $125,000 - $149,999",4 Member HH,234
10500,"Albany, GA Metro","Income $125,000 - $149,999",5+ Member HH,442
10500,"Albany, GA Metro","Income $15,000 - $24,999",1 Member HH,3545
10500,"Albany, GA Metro","Income $15,000 - $24,999",2 Member HH,3073
10500,"Albany, GA Metro","Income $15,000 - $24,999",3 Member HH,887
10500,"Albany, GA Metro","Income $15,000 - $24,999",4 Member HH,493
10500,"Albany, GA Metro","Income $15,000 - $24,999",5+ Member HH,712
10500,"Albany, GA Metro","Income $150,000 - $174,999",1 Member HH,481
10500,"Albany, GA Metro","Income $150,000 - $174,999",2 Member HH,662
10500,"Albany, GA Metro","Income $150,000 - $174,999",3 Member HH,169
10500,"Albany, GA Metro","Income $150,000 - $174,999",4 Member HH,108
10500,"Albany, GA Metro","Income $150,000 - $174,999",5+ Member HH,197
10500,"Albany, GA Metro","Income $175,000 - $199,999",1 Member HH,36
10500,"Albany, GA Metro","Income $175,000 - $199,999",2 Member HH,125
10500,"Albany, GA Metro","Income $175,000 - $199,999",3 Member HH,41
10500,"Albany, GA Metro","Income $175,000 - $199,999",4 Member HH,31
10500,"Albany, GA Metro","Income $175,000 - $199,999",5+ Member HH,64
10500,"Albany, GA Metro","Income $200,000 - $249,999",1 Member HH,195
10500,"Albany, GA Metro","Income $200,000 - $249,999",2 Member HH,257
10500,"Albany, GA Metro","Income $200,000 - $249,999",3 Member HH,101
10500,"Albany, GA Metro","Income $200,000 - $249,999",4 Member HH,55
10500,"Albany, GA Metro","Income $200,000 - $249,999",5+ Member HH,79
10500,"Albany, GA Metro","Income $25,000 - $34,999",1 Member HH,2913
10500,"Albany, GA Metro","Income $25,000 - $34,999",2 Member HH,2697
10500,"Albany, GA Metro","Income $25,000 - $34,999",3 Member HH,908
10500,"Albany, GA Metro","Income $25,000 - $34,999",4 Member HH,481
10500,"Albany, GA Metro","Income $25,000 - $34,999",5+ Member HH,710
10500,"Albany, GA Metro","Income $250,000+",1 Member HH,310
10500,"Albany, GA Metro","Income $250,000+",2 Member HH,293
10500,"Albany, GA Metro","Income $250,000+",3 Member HH,122
10500,"Albany, GA Metro","Income $250,000+",4 Member HH,78
10500,"Albany, GA Metro","Income $250,000+",5+ Member HH,131
10500,"Albany, GA Metro","Income $35,000 - $49,999",1 Member HH,3561
10500,"Albany, GA Metro","Income $35,000 - $49,999",2 Member HH,4373
10500,"Albany, GA Metro","Income $35,000 - $49,999",3 Member HH,1221
10500,"Albany, GA Metro","Income $35,000 - $49,999",4 Member HH,621
10500,"Albany, GA Metro","Income $35,000 - $49,999",5+ Member HH,719
10500,"Albany, GA Metro","Income $50,000 - $74,999",1 Member HH,3069
10500,"Albany, GA Metro","Income $50,000 - $74,999",2 Member HH,3785
10500,"Albany, GA Metro","Income $50,000 - $74,999",3 Member HH,2001
10500,"Albany, GA Metro","Income $50,000 - $74,999",4 Member HH,1293
10500,"Albany, GA Metro","Income $50,000 - $74,999",5+ Member HH,1955
10500,"Albany, GA Metro","Income $75,000 - $99,999",1 Member HH,1264
10500,"Albany, GA Metro","Income $75,000 - $99,999",2 Member HH,2011
10500,"Albany, GA Metro","Income $75,000 - $99,999",3 Member HH,1144
10500,"Albany, GA Metro","Income $75,000 - $99,999",4 Member HH,969
10500,"Albany, GA Metro","Income $75,000 - $99,999",5+ Member HH,1621
10500,"Albany, GA Metro","Income <$15,000",1 Member HH,5537
10500,"Albany, GA Metro","Income <$15,000",2 Member HH,5492
10500,"Albany, GA Metro","Income <$15,000",3 Member HH,915
10500,"Albany, GA Metro","Income <$15,000",4 Member HH,463
10500,"Albany, GA Metro","Income <$15,000",5+ Member HH,591
10540,"Albany, OR Metro","Income $100,000 - $124,999",1 Member HH,265
10540,"Albany, OR Metro","Income $100,000 - $124,999",2 Member HH,946
10540,"Albany, OR Metro","Income $100,000 - $124,999",3 Member HH,383
10540,"Albany, OR Metro","Income $100,000 - $124,999",4 Member HH,258
10540,"Albany, OR Metro","Income $100,000 - $124,999",5+ Member HH,442
10540,"Albany, OR Metro","Income $125,000 - $149,999",1 Member HH,207
10540,"Albany, OR Metro","Income $125,000 - $149,999",2 Member HH,525
10540,"Albany, OR Metro","Income $125,000 - $149,999",3 Member HH,156
10540,"Albany, OR Metro","Income $125,000 - $149,999",4 Member HH,91
10540,"Albany, OR Metro","Income $125,000 - $149,999",5+ Member HH,138
10540,"Albany, OR Metro","Income $15,000 - $24,999",1 Member HH,1544
10540,"Albany, OR Metro","Income $15,000 - $24,999",2 Member HH,1811
10540,"Albany, OR Metro","Income $15,000 - $24,999",3 Member HH,421
10540,"Albany, OR Metro","Income $15,000 - $24,999",4 Member HH,225
10540,"Albany, OR Metro","Income $15,000 - $24,999",5+ Member HH,312
10540,"Albany, OR Metro","Income $150,000 - $174,999",1 Member HH,183
10540,"Albany, OR Metro","Income $150,000 - $174,999",2 Member HH,442
10540,"Albany, OR Metro","Income $150,000 - $174,999",3 Member HH,112
10540,"Albany, OR Metro","Income $150,000 - $174,999",4 Member HH,68
10540,"Albany, OR Metro","Income $150,000 - $174,999",5+ Member HH,81
10540,"Albany, OR Metro","Income $175,000 - $199,999",1 Member HH,19
10540,"Albany, OR Metro","Income $175,000 - $199,999",2 Member HH,40
10540,"Albany, OR Metro","Income $175,000 - $199,999",3 Member HH,22
10540,"Albany, OR Metro","Income $175,000 - $199,999",4 Member HH,15
10540,"Albany, OR Metro","Income $175,000 - $199,999",5+ Member HH,19
10540,"Albany, OR Metro","Income $200,000 - $249,999",1 Member HH,56
10540,"Albany, OR Metro","Income $200,000 - $249,999",2 Member HH,107
10540,"Albany, OR Metro","Income $200,000 - $249,999",3 Member HH,30
10540,"Albany, OR Metro","Income $200,000 - $249,999",4 Member HH,16
10540,"Albany, OR Metro","Income $200,000 - $249,999",5+ Member HH,21
10540,"Albany, OR Metro","Income $25,000 - $34,999",1 Member HH,1375
10540,"Albany, OR Metro","Income $25,000 - $34,999",2 Member HH,1950
10540,"Albany, OR Metro","Income $25,000 - $34,999",3 Member HH,477
10540,"Albany, OR Metro","Income $25,000 - $34,999",4 Member HH,273
10540,"Albany, OR Metro","Income $25,000 - $34,999",5+ Member HH,313
10540,"Albany, OR Metro","Income $250,000+",1 Member HH,109
10540,"Albany, OR Metro","Income $250,000+",2 Member HH,171
10540,"Albany, OR Metro","Income $250,000+",3 Member HH,55
10540,"Albany, OR Metro","Income $250,000+",4 Member HH,29
10540,"Albany, OR Metro","Income $250,000+",5+ Member HH,39
10540,"Albany, OR Metro","Income $35,000 - $49,999",1 Member HH,1508
10540,"Albany, OR Metro","Income $35,000 - $49,999",2 Member HH,3889
10540,"Albany, OR Metro","Income $35,000 - $49,999",3 Member HH,776
10540,"Albany, OR Metro","Income $35,000 - $49,999",4 Member HH,350
10540,"Albany, OR Metro","Income $35,000 - $49,999",5+ Member HH,356
10540,"Albany, OR Metro","Income $50,000 - $74,999",1 Member HH,1322
10540,"Albany, OR Metro","Income $50,000 - $74,999",2 Member HH,3098
10540,"Albany, OR Metro","Income $50,000 - $74,999",3 Member HH,1367
10540,"Albany, OR Metro","Income $50,000 - $74,999",4 Member HH,904
10540,"Albany, OR Metro","Income $50,000 - $74,999",5+ Member HH,1425
10540,"Albany, OR Metro","Income $75,000 - $99,999",1 Member HH,511
10540,"Albany, OR Metro","Income $75,000 - $99,999",2 Member HH,2151
10540,"Albany, OR Metro","Income $75,000 - $99,999",3 Member HH,844
10540,"Albany, OR Metro","Income $75,000 - $99,999",4 Member HH,595
10540,"Albany, OR Metro","Income $75,000 - $99,999",5+ Member HH,982
10540,"Albany, OR Metro","Income <$15,000",1 Member HH,2035
10540,"Albany, OR Metro","Income <$15,000",2 Member HH,2552
10540,"Albany, OR Metro","Income <$15,000",3 Member HH,365
10540,"Albany, OR Metro","Income <$15,000",4 Member HH,178
10540,"Albany, OR Metro","Income <$15,000",5+ Member HH,204
10580,"Albany-Schenectady-Troy, NY Metro","Income $100,000 - $124,999",1 Member HH,11324
10580,"Albany-Schenectady-Troy, NY Metro","Income $100,000 - $124,999",2 Member HH,11761
10580,"Albany-Schenectady-Troy, NY Metro","Income $100,000 - $124,999",3 Member HH,5455
10580,"Albany-Schenectady-Troy, NY Metro","Income $100,000 - $124,999",4 Member HH,3723
10580,"Albany-Schenectady-Troy, NY Metro","Income $100,000 - $124,999",5+ Member HH,5474
10580,"Albany-Schenectady-Troy, NY Metro","Income $125,000 - $149,999",1 Member HH,7063
10580,"Albany-Schenectady-Troy, NY Metro","Income $125,000 - $149,999",2 Member HH,6386
10580,"Albany-Schenectady-Troy, NY Metro","Income $125,000 - $149,999",3 Member HH,3053
10580,"Albany-Schenectady-Troy, NY Metro","Income $125,000 - $149,999",4 Member HH,2590
10580,"Albany-Schenectady-Troy, NY Metro","Income $125,000 - $149,999",5+ Member HH,4177
10580,"Albany-Schenectady-Troy, NY Metro","Income $15,000 - $24,999",1 Member HH,15669
10580,"Albany-Schenectady-Troy, NY Metro","Income $15,000 - $24,999",2 Member HH,9214
10580,"Albany-Schenectady-Troy, NY Metro","Income $15,000 - $24,999",3 Member HH,2525
10580,"Albany-Schenectady-Troy, NY Metro","Income $15,000 - $24,999",4 Member HH,1326
10580,"Albany-Schenectady-Troy, NY Metro","Income $15,000 - $24,999",5+ Member HH,1573
10580,"Albany-Schenectady-Troy, NY Metro","Income $150,000 - $174,999",1 Member HH,7179
10580,"Albany-Schenectady-Troy, NY Metro","Income $150,000 - $174,999",2 Member HH,5565
10580,"Albany-Schenectady-Troy, NY Metro","Income $150,000 - $174,999",3 Member HH,2133
10580,"Albany-Schenectady-Troy, NY Metro","Income $150,000 - $174,999",4 Member HH,1651
10580,"Albany-Schenectady-Troy, NY Metro","Income $150,000 - $174,999",5+ Member HH,2174
10580,"Albany-Schenectady-Troy, NY Metro","Income $175,000 - $199,999",1 Member HH,789
10580,"Albany-Schenectady-Troy, NY Metro","Income $175,000 - $199,999",2 Member HH,1351
10580,"Albany-Schenectady-Troy, NY Metro","Income $175,000 - $199,999",3 Member HH,614
10580,"Albany-Schenectady-Troy, NY Metro","Income $175,000 - $199,999",4 Member HH,436
10580,"Albany-Schenectady-Troy, NY Metro","Income $175,000 - $199,999",5+ Member HH,669
10580,"Albany-Schenectady-Troy, NY Metro","Income $200,000 - $249,999",1 Member HH,2583
10580,"Albany-Schenectady-Troy, NY Metro","Income $200,000 - $249,999",2 Member HH,2215
10580,"Albany-Schenectady-Troy, NY Metro","Income $200,000 - $249,999",3 Member HH,848
10580,"Albany-Schenectady-Troy, NY Metro","Income $200,000 - $249,999",4 Member HH,686
